City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Boyolangu,ID,-8.1181,111.8935,75.25,90,66,0.49,broken clouds
310,Geraldton,AU,-28.7667,114.6,64.4,82,14,5.75,few clouds
311,Lazaro Cardenas,MX,17.9583,-102.2,81.36,55,2,9.51,clear sky
312,Lahij,YE,13.1667,44.5833,73.63,41,6,1.05,clear sky
313,Sioux Falls,US,43.55,-96.7003,53.6,37,75,16.11,broken clouds
314,Cherskiy,RU,68.75,161.3,-1.98,85,99,3.2,overcast clouds
315,Provideniya,RU,64.3833,-173.3,15.12,88,100,21.7,light snow
316,Nyurba,RU,63.2842,118.3319,10.33,97,90,3.94,overcast clouds
317,Lundazi,ZM,-12.2929,33.1782,63.03,94,100,7.14,overcast clouds
318,Kamennomostskiy,RU,44.2983,40.1856,34.65,74,10,4.47,clear sky
319,Kem,RU,64.9555,34.5793,33.42,95,98,7.52,overcast clouds
320,Coos Bay,US,43.3665,-124.2179,51.01,87,90,13.8,mist
321,Ajdabiya,LY,30.7554,20.2263,58.51,52,90,9.46,overcast clouds
322,Walvis Bay,NA,-22.9575,14.5053,61.0,88,0,4.61,clear sky
323,Havelock,US,34.8791,-76.9013,71.01,77,100,10.0,overcast clouds
324,Caracuaro,MX,19.0106,-101.1264,98.91,10,38,5.7,scattered clouds
325,Lichinga,MZ,-13.3128,35.2406,64.0,100,75,12.66,broken clouds
326,Port Blair,IN,11.6667,92.75,80.15,76,60,1.74,broken clouds
327,Policarpa,CO,1.6323,-77.462,70.54,93,90,3.78,moderate rain
328,Raymond,US,43.9015,-70.4703,39.99,97,100,1.01,moderate rain
329,Alpoyeca,MX,17.6667,-98.5167,97.03,12,1,2.62,clear sky
330,Jackson,US,42.4165,-122.8345,73.4,17,1,17.27,clear sky
331,Mitchell,US,43.7094,-98.0298,60.8,29,1,13.8,clear sky
332,Krasnoarmeysk,RU,51.0239,45.6969,33.01,94,95,5.99,light snow
333,Ofaqim,IL,31.3141,34.6203,54.0,66,0,5.84,clear sky
334,Bud,US,39.447,-86.1758,45.0,56,78,16.31,broken clouds
335,Arani,IN,12.6667,79.2833,75.47,92,56,5.35,broken clouds
336,Oriximina,BR,-1.7656,-55.8661,75.81,92,27,2.77,scattered clouds
337,Surt,LY,31.2089,16.5887,59.2,61,34,11.32,scattered clouds
338,San Patricio,US,28.017,-97.5169,62.6,59,75,13.8,broken clouds
339,Dharchula,IN,29.85,80.5333,58.82,40,30,6.76,scattered clouds
340,Nanchang,CN,28.6833,115.8833,65.26,87,12,2.17,few clouds
341,Pangkalanbuun,ID,-2.6833,111.6167,74.28,97,95,0.47,light rain
342,Aykhal,RU,66.0,111.5,9.25,99,100,5.28,overcast clouds
343,Namibe,AO,-15.1961,12.1522,74.05,74,40,2.66,light rain
